TRADER,n_trades,avg_from_amount,avg_to_amount,cluster
osmo105f4rx0takzp2ydqm5rrqy3c295f4n09qce2wr,1,100.0,6.0,0.0
osmo105l70jrsqr2rkuussw6kq7x34y9djkyjuw87fy,1,27066950.0,3993233.0,0.0
osmo105m8cr6g2ej0zajdw4rt9avl3emdqn9xrvakpr,1,5e+19,3591520878.0,0.0
osmo105nl5q2p6skpru72kts6z0a23mjnz2pd9rpw9w,1,100.0,6.0,0.0
osmo105qcnwsft0w3jncut8yhevny50gm4qm2m6f79v,1,112000000.0,2768708.0,0.0
osmo105qeucljvgkgf4vqc0nsksaflg3y7n3d0xsrs0,2,245530000.0,360767502.5,0.0
osmo105rf9sxvzqrf8sce5rktffgd2t960uy0rpwxza,4,107160099.75,16763297.5,0.0
osmo105rfyahwj8wu2hwz84l7tlpz2ujxul33uj75we,1,1500000000.0,1860653226.0,0.0
osmo105stz240dneksumsm3trgqp89ec86wsvxhjl4w,3,153530633649.66666,4.808136941125549e+19,0.0
osmo105wqqhujjw3kwv67sv6fj34h9y8yuz5gdu9a7k,1,100.0,6.0,0.0
osmo105x4vjqqr5nslysfppsewjzt0w5ef62dnwegee,1,2.6e+18,14498444.0,0.0
osmo105xeujt6tme3q7u8gtfrzxpclh7t95erkt0wlm,1,2720000.0,180881.0,0.0
osmo105ytzzer2c6h63tfy9cu8x6sajclzzaxhfj3xp,2,692953513.0,7356476879.5,0.0
osmo1060ff9utra573cq9csecw2a40v3xgfw2a0g0k9,1,100.0,6.0,0.0
osmo1060t4vlql9ngh4jj4h67nsyu4lmljyd8pesy5q,1,4800000.0,10954918.0,0.0
osmo1062pqrt6z6w0nsp6t25ekxmgxx9dl03jnhh9a6,11,3330633158.818182,249792245.1818182,0.0
osmo1065y0qdm6wkp2dtj2lkt8y3guvrkkcupdztfk4,6,2000000000.0,8.505324298380896e+19,0.0
osmo10663he9n4nd5m5c85mhle4xhx94rv3d53tzkxt,14,3.356685297772603e+19,576461.5,0.0
osmo1068pa67gedte0r3xvyxgljn86sa50qurm0qzft,1,1000000.0,1180688.0,0.0
osmo10697xc90emvfka40xu67pfm77vcwx0s346275s,1,100.0,6.0,0.0
osmo106dtuyt592qzjp4hekt5hvtch79neksyecd2em,1,100.0,6.0,0.0
osmo106e0e5mxkzw8unqypl6azdx08xa2qhhg7ufnsr,2,3.0000000000004e+18,115889.5,0.0
osmo106f74xg24tv7f3gqapsxhkkevxja90g9ncqy6l,73,1897012031.630137,1945947487.0958905,0.0
osmo106j0y9xu8hylaqatcpjuara9e50yrwgef45tqq,1,16407960.0,78247.0,0.0
osmo106je20ga9y9nt4kpzyyw88g2yqsu42qkqftu05,1,100.0,6.0,0.0
osmo106kete7d9mfdnv8kl2yakfyuthlcktekzsjsue,1,100.0,6.0,0.0
