profileid,follower_count,post_count,comment_count,mirror_count
6894,901,318,14,32
48647,900,201,14,45
103167,899,108,2,34
89563,898,325,1,1
2727,897,11,2,4
8661,896,29,15,8
637,893,113,3,3
14700,893,70,26,11
103827,893,52,3,4
35368,892,448,1,2
92448,892,23,1,2
46976,891,197,5,6
48161,891,117,3,3
34784,889,94,3,6
98166,888,278,32,52
19850,888,226,19,47
113588,886,193,19,16
113646,886,70,10,16
74884,883,263,9,65
107434,883,180,2,2
4185,883,88,2,5
64748,882,493,1,1
75753,882,154,3,23
28664,881,377,5,38
69496,880,126,2,6
48880,879,125,21,17
39886,878,274,4,16
28724,878,101,7,6
23771,877,67,3,8
25321,876,373,3,9
48202,875,259,3,21
98121,874,253,26,67
98179,872,261,25,53
29852,872,113,2,28
63537,871,238,25,75
39353,871,149,4,23
1171,871,89,14,5
1590,865,28,1,2
45846,864,630,4,218
83917,863,232,25,76
91262,863,28,1,35
99708,862,128,2,2
20227,860,1020,8,9
48537,860,96,2,18
34972,859,14,7,4
39333,858,300,28,9
97522,857,240,23,52
46203,856,34,6,16
53992,854,31,29,55
18496,853,244,7,29
92478,853,68,6,1
27744,851,405,23,16
73166,851,144,2,1
93199,850,795,22,54
20128,850,465,93,83
74027,849,224,6,89
34028,849,172,53,152
84450,848,111,17,53
24631,847,76,8,3
100454,846,298,13,2
75515,845,216,3,90
87342,845,107,1,5
89805,844,165,2,1
6291,844,150,6,279
94434,844,74,2,5
73575,842,234,5,157
62927,841,149,3,5
114033,839,174,20,30
90644,839,118,1,12
48323,839,70,4,5
22643,838,246,7,48
21099,838,227,17,34
48124,838,137,5,5
28566,838,97,3,3
42244,838,89,6,1
48561,837,186,2,5
74562,836,121,1,22
3267,836,5,4,1
77916,835,168,13,64
93651,834,101,29,67
90029,834,25,7,83
70589,832,148,4,2
66707,831,165,3,18
1305,828,913,9,71
76081,827,438,1,6
80563,826,252,11,93
48865,825,872,2,9
22162,825,197,20,20
108024,825,137,15,20
67527,825,93,1,41
98496,825,54,4,29
75104,823,167,2,70
89513,821,111,1,21
7890,821,7,8,10
27715,819,247,32,258
3120,819,55,8,29
27863,818,234,4,5
24474,818,211,11,12
26954,818,57,1,37
88095,817,60,2,25
27864,816,108,5,5
39773,816,36,1,26
43777,815,5,8,18
57035,813,301,7,19
100827,810,1093,1,2
72487,809,185,2,4
25237,807,1050,81,123
81032,805,408,3,18
50802,804,47,2,18
96606,804,45,3,1
59520,802,320,52,117
21929,801,89,1,113
47928,799,39,7,13
27594,798,250,3,1
28565,797,8,5,1
20744,795,94,12,10
76175,795,91,8,37
2153,795,57,11,8
58337,794,98,22,12
48583,794,18,3,5
65826,792,134,2,2
10776,792,103,7,6
27725,791,374,2,9
77528,791,162,2,3
69622,790,552,2,1
93251,790,146,6,1
107457,789,322,1,72
62010,788,571,3,9
61747,788,272,149,147
64896,788,118,3,9
32433,788,40,6,4
70643,787,971,7,73
90885,787,74,26,47
39295,786,97,2,36
47316,785,148,2,3
73255,785,21,2,3
54392,783,297,1,11
74686,783,66,13,25
43047,782,229,11,1
7432,782,42,3,24
34941,781,75,16,5
93363,780,521,1,20
6378,779,131,8,211
110483,779,93,1,7
40327,779,89,4,26
36423,778,71,13,10
94333,777,217,105,214
30737,777,179,7,28
33632,777,28,2,2
2010,776,2195,11,5
46093,776,459,3,3
73957,776,20,1,3
20266,775,1058,6,7
89720,775,583,4,12
67276,775,156,1,12
34767,775,110,2,17
14981,774,146,75,42
39329,773,30,2,3
77114,771,140,8,20
59175,771,90,7,5
68199,771,54,14,83
27678,770,958,2,10
98598,770,273,34,133
48873,770,114,5,6
40186,770,41,3,7
78794,768,309,1,1
57524,768,43,3,10
113405,766,228,10,28
44564,765,469,8,14
50897,764,347,14,95
31252,764,146,37,123
39961,764,103,2,23
13585,763,83,4,3
30676,762,208,29,11
72861,761,594,29,39
98416,761,196,23,67
30484,761,189,146,262
76311,761,182,5,15
13930,761,137,7,14
65252,760,405,1,5
27735,760,198,11,36
47618,759,225,33,36
40579,759,40,6,4
94325,758,215,53,128
106098,758,179,15,22
2509,756,166,7,45
46207,756,162,28,42
27698,754,185,3,5
48432,754,46,3,24
75534,754,29,33,9
25874,753,58,4,1
9331,753,39,6,24
90422,752,74,1,8
231,750,339,32,17
88968,750,111,1,42
28386,750,25,1,2
35592,749,266,6,9
39207,749,161,1,6
45091,748,210,19,33
61028,748,58,4,4
48200,747,185,6,20
54405,747,87,7,5
21996,746,318,4,1
6844,746,141,13,27
87548,744,328,5,92
20913,744,83,9,30
105004,744,77,2,3
74054,744,18,1,5
75268,743,720,8,38
67594,742,402,3,11
40347,742,230,1,1
27646,742,173,13,21
93881,742,43,2,31
90703,737,249,2,63
93212,736,35,17,18
83818,734,107,7,3
17982,734,23,5,14
42199,733,220,9,26
16688,732,143,12,12
1288,732,64,8,25
258,731,128,29,17
86736,731,47,2,24
73202,731,10,1,4
2467,730,56,9,6
66039,730,18,2,1
48525,729,269,8,31
90352,729,94,6,3
31508,728,17,6,12
27965,726,75,1,21
24230,726,38,10,36
68200,724,350,10,5
2033,724,111,8,39
112348,724,40,5,6
64893,722,178,1,3
32238,722,55,1,6
47186,721,22,3,3
43020,720,338,8,5
100323,719,67,3,25
100650,718,524,2,15
77230,718,32,1,15
102696,718,22,1,3
104659,717,278,2,15
20479,717,75,22,31
41427,717,41,17,74
48922,716,163,2,4
68045,715,146,1,32
15698,715,84,7,4
48771,714,111,1,3
102277,714,99,6,109
107238,714,94,2,1
110794,714,55,1,9
40603,714,53,2,2
65289,714,28,5,8
110449,713,71,283,651
55492,712,114,3,6
68921,712,47,1,19
109445,710,193,1,22
27112,709,96,5,7
46646,708,2,3,5
82017,707,267,5,44
58381,707,255,3,43
12543,707,150,3,80
75257,707,129,52,45
63026,707,70,1,1
83795,706,119,3,4
71786,706,107,4,40
68205,705,407,5,9
37435,705,321,44,43
3317,705,216,14,24
32747,705,157,2,9
70892,705,69,1,5
54455,705,32,1,1
40928,705,24,3,4
90447,704,630,2,1
54666,704,142,10,21
34461,704,6,3,1
76299,703,331,1,3
63968,703,268,6,49
65632,700,175,11,12
101139,700,86,1,4
53678,700,48,6,9
19756,700,11,4,1
78067,699,288,3,16
48181,699,122,2,49
79123,699,107,94,365
68345,698,351,2,9
79578,698,84,1,4
75908,698,77,2,4
77199,697,306,1,9
100002,696,215,2,24
67174,696,90,3,21
84474,695,60,17,41
25910,694,106,1,4
77015,694,50,5,103
89766,694,29,3,27
29909,692,60,1,8
9617,690,131,3,5
48610,690,17,5,8
64746,689,272,7,27
14317,689,159,18,31
95451,689,39,2,26
82359,688,319,5,10
65726,686,101,3,379
65871,685,409,1,228
108791,685,391,4,51
78983,685,236,139,4
20818,685,57,7,2
76167,684,241,4,5
53111,684,117,79,11
16424,684,35,14,12
1429,682,6,6,3
5509,681,1622,10,3
15261,681,501,277,52
103076,681,367,14,40
40684,681,127,3,39
50078,681,61,34,117
970,681,50,5,24
18624,680,219,5,16
5064,680,183,8,67
64491,680,104,14,14
78311,680,50,3,8
40223,680,46,4,59
22272,680,19,5,6
18873,679,1198,97,580
41429,679,213,60,202
85429,679,121,86,70
28336,679,80,4,16
77354,679,67,84,181
7588,678,173,8,12
75669,678,99,2,1
31444,678,83,175,392
115,678,9,3,6
7078,677,274,17,67
63975,677,260,1,44
76013,676,663,8,26
13973,676,156,13,15
25623,676,49,43,2
43027,675,309,7,5
75484,675,170,1,74
4395,675,13,4,1
49884,674,38,3,13
14749,674,7,1,16
39889,673,253,2,31
14650,672,106,3,2
65902,672,104,16,4
31401,672,53,2,6
22077,671,56,6,24
29100,671,49,4,2
102770,670,318,2,64
63969,670,245,15,54
75038,670,109,1,4
90674,670,82,5,52
86367,670,35,13,29
5781,669,95,6,19
86484,668,533,58,68
27355,668,163,16,6
13655,668,113,2,2
72474,668,32,1,23
81740,667,658,14,97
107450,667,50,7,121
36527,666,67,13,4
48493,665,435,15,16
70360,665,161,4,12
12747,665,149,12,18
36352,665,146,7,24
83877,665,108,80,70
87029,665,37,2,6
30546,664,267,25,23
92328,664,42,4,11
95067,663,223,27,441
48382,663,169,3,36
97928,663,43,3,28
102975,662,208,5,58
57265,662,105,3,1
54100,661,163,9,169
79478,661,51,2,34
72010,661,26,2,12
34223,660,704,18,17
94753,660,92,14,33
48162,660,45,3,6
72260,659,355,10,14
104673,659,125,1,8
64717,659,58,7,19
65725,658,54,2,1
17094,657,76,8,5
72254,657,68,2,6
8941,657,55,4,8
92472,657,42,1,14
48350,656,82,4,2
28753,656,64,2,40
81720,655,245,1,13
80529,655,84,2,9
28384,655,73,9,76
55621,655,21,2,24
58,655,11,2,1
40731,654,153,10,31
4639,654,45,2,17
14579,654,5,7,45
62833,653,86,1,1
74635,653,78,2,6
104681,652,119,2,12
74613,652,59,1,2
95480,652,57,22,264
68361,652,48,2,11
40272,651,203,2,42
92467,650,124,5,15
83315,650,48,2,2
107576,650,9,1,1
20030,649,62,3,13
67700,648,190,4,1
90958,648,92,1,7
53416,648,90,4,8
81569,648,45,1,89
76631,647,491,5,36
108748,647,76,3,21
31418,647,49,1,1
86361,647,38,1,25
34455,647,38,1,2
22027,646,272,4,8
65900,646,118,12,188
72800,645,797,2,6
6372,645,714,27,54
4842,645,184,3,6
56135,645,125,13,22
20873,645,1,1,4
81156,644,181,4,8
65357,644,103,2,37
38767,643,33,3,2
30417,643,24,3,79
63974,642,264,3,43
91038,642,91,146,12
65873,642,75,9,13
34965,641,237,90,33
24201,641,45,13,24
